dia,mes,logradouro,cidade,uf
7,1,Rua Sete de Janeiro,Prata,PB
7,1,Rua Sete de Janeiro,Recife,PE
7,1,Rua Sete de Janeiro,Picos,PI
7,1,Rua Sete de Janeiro,Duque de Caxias,RJ
7,1,Rua 7 de Janeiro,Indaial,SC
7,1,Rua Sete de Janeiro,Ipira,SC
7,1,Estrada 7 de Janeiro,Massaranduba,SC
7,1,Rua 7 de Janeiro,Massaranduba,SC
7,1,Rua 7 de janeiro,Nossa Senhora do Socorro,SE
7,1,Rua Sete de Janeiro,Campinas,SP
7,1,Avenida Sete de Janeiro,Tremembé,SP
8,1,Rua 8 de Janeiro,Coribe,BA
8,1,Rua Oito de Janeiro,Novo Triunfo,BA
8,1,Rua Oito de Janeiro,Salvador,BA
8,1,Travessa 8 de Janeiro,Salvador,BA
8,1,Rua Oito de Janeiro,Cruz,CE
8,1,Rua Oito de Janeiro,Cuiabá,MT
8,1,Rua Oito de Janeiro,Manoel Ribas,PR
8,1,Praça Oito de Janeiro,São José dos Pinhais,PR
8,1,Rua 8 de Janeiro,São Francisco de Itabapoana,RJ
8,1,Rua Oito de Janeiro,Blumenau,SC
8,1,Rua 8 de Janeiro,Capinzal,SC
8,1,Rua Oito de Janeiro,São Paulo,SP
9,1,Rua Nove de Janeiro,Salvador,BA
9,1,Rua Nove de Janeiro,Simões Filho,BA
9,1,Praça Nove de Janeiro,Guaraciaba do Norte,CE
9,1,Escadaria Nove de Janeiro,Vitória,ES
9,1,Rua 9 de Janeiro,São Miguel do Passa Quatro,GO
9,1,Rua Nove de Janeiro,Centralina,MG
9,1,Rua Nove de Janeiro,Ipatinga,MG
9,1,Nove de Janeiro,Cuiabá,MT
9,1,Alameda Nove de Janeiro,Belém,PA
9,1,Passagem Nove de Janeiro,Belém,PA
9,1,Travessa Nove de Janeiro,Belém,PA
9,1,Vila Nove de Janeiro,Belém,PA
9,1,Travessa Nove de Janeiro,Castanhal,PA
9,1,Rua Nove de Janeiro,Bezerros,PE
9,1,Rua Nove de Janeiro,Jaboatão dos Guararapes,PE
9,1,Travessa Nove de Janeiro,Jaboatão dos Guararapes,PE
9,1,Rua Nove de Janeiro,Paulista,PE
9,1,Travessa Nove de Janeiro,Duque de Caxias,RJ
9,1,Rua Nove de Janeiro,Itaguaí,RJ
9,1,Rua Nove de Janeiro,Seropédica,RJ
9,1,Rua Nove de Janeiro,São Gonçalo,RJ
9,1,Rua Nove de Janeiro,Balneário Barra do Sul,SC
9,1,Rua 9 de Janeiro,São Miguel da Boa Vista,SC
9,1,Rua Nove de Janeiro,Diadema,SP
9,1,Rua Nove de Janeiro,Iaras,SP
10,1,Rua 10 de Janeiro,Rio Branco,AC
10,1,Travessa 10 de Janeiro,Buritirama,BA
10,1,Rua 10 de Janeiro,Camacan,BA
10,1,Rua 10 de Janeiro,Salvador,BA
10,1,Travessa Dez de Janeiro,Fortaleza,CE
10,1,Rua 10 de Janeiro,Benedito Leite,MA
10,1,Rua 10 de Janeiro,São Pedro da União,MG
10,1,Alameda Dez de Janeiro,Ananindeua,PA
10,1,Travessa Dez de Janeiro,Anapu,PA
10,1,Travessa Dez de Janeiro,Belém,PA
10,1,Rua Dez de Janeiro,Ulianópolis,PA
10,1,Rua 10 de Janeiro,Conde,PB
10,1,Rua Dez de Janeiro,Jaboatão dos Guararapes,PE
10,1,Rua Dez de Janeiro,Recife,PE
10,1,Rua Dez de Janeiro,São Lourenço da Mata,PE
10,1,Rua Dez de Janeiro,Maricá,RJ
